mmwr_week,mmwr_year,start,end,month
1,2025,2024-12-29,2025-01-04,Jan
2,2025,2025-01-05,2025-01-11,Jan
3,2025,2025-01-12,2025-01-18,Jan
4,2025,2025-01-19,2025-01-25,Jan
5,2025,2025-01-26,2025-02-01,Jan
6,2025,2025-02-02,2025-02-08,Feb
7,2025,2025-02-09,2025-02-15,Feb
8,2025,2025-02-16,2025-02-22,Feb
9,2025,2025-02-23,2025-03-01,Feb
10,2025,2025-03-02,2025-03-08,March
11,2025,2025-03-09,2025-03-15,March
12,2025,2025-03-16,2025-03-22,March
13,2025,2025-03-23,2025-03-29,March
14,2025,2025-03-30,2025-04-05,April
15,2025,2025-04-06,2025-04-12,April
16,2025,2025-04-13,2025-04-19,April
17,2025,2025-04-20,2025-04-26,April
18,2025,2025-04-27,2025-05-03,May
19,2025,2025-05-04,2025-05-10,May
20,2025,2025-05-11,2025-05-17,May
21,2025,2025-05-18,2025-05-24,May
22,2025,2025-05-25,2025-05-31,May
23,2025,2025-06-01,2025-06-07,June
24,2025,2025-06-08,2025-06-14,June
25,2025,2025-06-15,2025-06-21,June
26,2025,2025-06-22,2025-06-28,June
27,2025,2025-06-29,2025-07-05,July
28,2025,2025-07-06,2025-07-12,July
29,2025,2025-07-13,2025-07-19,July
30,2025,2025-07-20,2025-07-26,July
31,2025,2025-07-27,2025-08-02,July
32,2025,2025-08-03,2025-08-09,August
33,2025,2025-08-10,2025-08-16,August
34,2025,2025-08-17,2025-08-23,August
35,2025,2025-08-24,2025-08-30,August
36,2025,2025-08-31,2025-09-06,Sept
37,2025,2025-09-07,2025-09-13,Sept
38,2025,2025-09-14,2025-09-20,Sept
39,2025,2025-09-21,2025-09-27,Sept
40,2025,2025-09-28,2025-10-04,Oct
41,2025,2025-10-05,2025-10-11,Oct
42,2025,2025-10-12,2025-10-18,Oct
43,2025,2025-10-19,2025-10-25,Oct
44,2025,2025-10-26,2025-11-01,Oct
45,2025,2025-11-02,2025-11-08,Nov
46,2025,2025-11-09,2025-11-15,Nov
47,2025,2025-11-16,2025-11-22,Nov
48,2025,2025-11-23,2025-11-29,Nov
49,2025,2025-11-30,2025-12-06,Dec
50,2025,2025-12-07,2025-12-13,Dec
51,2025,2025-12-14,2025-12-20,Dec
52,2025,2025-12-21,2025-12-27,Dec
53,2025,2025-12-28,2026-01-03,Dec
1,2026,2026-01-04,2026-01-10,Jan
2,2026,2026-01-11,2026-01-17,Jan
3,2026,2026-01-18,2026-01-24,Jan
4,2026,2026-01-25,2026-01-31,Jan
5,2026,2026-02-01,2026-02-07,Feb
6,2026,2026-02-08,2026-02-14,Feb
7,2026,2026-02-15,2026-02-21,Feb
8,2026,2026-02-22,2026-02-28,Feb
9,2026,2026-03-01,2026-03-07,March
10,2026,2026-03-08,2026-03-14,March
11,2026,2026-03-15,2026-03-21,March
12,2026,2026-03-22,2026-03-28,March
13,2026,2026-03-29,2026-04-04,April
14,2026,2026-04-05,2026-04-11,April
15,2026,2026-04-12,2026-04-18,April
16,2026,2026-04-19,2026-04-25,April
17,2026,2026-04-26,2026-05-02,April
18,2026,2026-05-03,2026-05-09,May
19,2026,2026-05-10,2026-05-16,May
20,2026,2026-05-17,2026-05-23,May
21,2026,2026-05-24,2026-05-30,May
22,2026,2026-05-31,2026-06-06,June
23,2026,2026-06-07,2026-06-13,June
24,2026,2026-06-14,2026-06-20,June
25,2026,2026-06-21,2026-06-27,June
26,2026,2026-06-28,2026-07-04,July
27,2026,2026-07-05,2026-07-11,July
28,2026,2026-07-12,2026-07-18,July
29,2026,2026-07-19,2026-07-25,July
30,2026,2026-07-26,2026-08-01,July
31,2026,2026-08-02,2026-08-08,August
32,2026,2026-08-09,2026-08-15,August
33,2026,2026-08-16,2026-08-22,August
34,2026,2026-08-23,2026-08-29,August
35,2026,2026-08-30,2026-09-05,Sept
36,2026,2026-09-06,2026-09-12,Sept
37,2026,2026-09-13,2026-09-19,Sept
38,2026,2026-09-20,2026-09-26,Sept
39,2026,2026-09-27,2026-10-03,Sept
40,2026,2026-10-04,2026-10-10,Oct
41,2026,2026-10-11,2026-10-17,Oct
42,2026,2026-10-18,2026-10-24,Oct
43,2026,2026-10-25,2026-10-31,Oct
44,2026,2026-11-01,2026-11-07,Nov
45,2026,2026-11-08,2026-11-14,Nov
46,2026,2026-11-15,2026-11-21,Nov
47,2026,2026-11-22,2026-11-28,Nov
48,2026,2026-11-29,2026-12-05,Dec
49,2026,2026-12-06,2026-12-12,Dec
50,2026,2026-12-13,2026-12-19,Dec
51,2026,2026-12-20,2026-12-26,Dec
52,2026,2026-12-27,2027-01-02,Dec
